页码,识别文字,置信度,左上角坐标,右下角坐标
23,腰腥腮腹腺鹏腾腿鲍猿颍,0.8941,[ 137 1828],[1947 2048]
23,触解煞雏馍馏酱禀痹廓痴,0.9718,[ 140 2019],[1927 2214]
23,,0.0,[1802 2232],[1888 2300]
23,卷,0.4534,[1158 2252],[1225 2303]
23,蛇,0.3117,[1316 2259],[1405 2305]
23,礼,0.1106,[1481 2261],[1566 2303]
23,兴,0.219,[1655 2253],[1728 2300]
24,[行楷]教学版,0.9115,[1697   75],[1972  148]
24,慈煤煌满漠滇源滤滥滔溪,0.971,[177 170],[1964  316]
24,溜漓滚溢溯滨溶溺梁滩慎,0.9518,[168 338],[1968  493]
24,誉塞寞窥窟寝谨补裸福谬,0.9409,[162 499],[1976  666]
24,静碧璃赘熬墙,0.9648,[822 847],[1810 1003]
24,14画,0.9991,[666 891],[809 954]
24,事,0.0797,[1730  893],[2023  950]
24,模槛榴榜榨榕歌遭酵酷酿,0.9736,[ 146 1323],[1989 1543]
24,酸碟碱碳磁愿需辖辗雌裳,0.8644,[ 146 1485],[1985 1691]
24,颗瞅墅嗽踊蜻蜡蝇蜘蝉嘛,0.9241,[ 154 1655],[1981 1855]
24,嘀赚锹锻镀舞舔稳熏箕算,0.9286,[ 171 1857],[1959 2008]
24,,0.0,[1010 2040],[1459 2160]
24,首撇右靠,0.8584,[ 272 2089],[ 417 2132]
24,两撇一短一长，第,0.9235,[ 657 2094],[ 956 2133]
24,双人旁,0.9911,[ 153 2107],[ 211 2232]
24,花,0.066,[ 338 2129],[ 407 2259]
24,二撇在第一搬的中部起,0.9459,[ 581 2148],[ 958 2187]
24,笔，竖画多用垂露竖，整,0.9724,[ 579 2201],[ 958 2243]
24,往往往,0.9966,[1002 2217],[1457 2332]
24,体字形要与“丝”部区别。,0.9457,[ 577 2260],[ 956 2297]
24,竖笔勿斜,0.8391,[ 313 2287],[ 455 2332]
25,通用,0.9969,[158   0],[288  80]
25,规范汉字7000字,0.9589,[285  14],[660  68]
25,[行楷]教学师,0.8652,[1708   16],[1976   82]
25,箩管箫舆僚僧鼻魄魅貌膜,0.9136,[176 102],[1962  251]
25,膊膀鲜疑孵馒裹敲豪膏遮,0.9461,[162 274],[1967  448]
25,慧撑撕撒撩趣趟撑撮,0.874,[ 483 1140],[1966 1304]
25,15画,0.9992,[ 324 1177],[ 471 1248]
25,撬播擒墩撞撤增撰聪鞋鞍,0.9392,[ 147 1285],[1974 1489]
25,蕉蕊蔬蕴横槽樱橡樟橄敷,0.9342,[ 136 1459],[1973 1670]
25,豌飘醋醇醉磕磊磅碾震霄,0.9243,[ 118 1636],[1879 1842]
25,踩踪蝶蝴蝠蝎蝌蝗蝙嘿,0.9034,[ 257 2016],[1949 2207]
25,嘱,0.9131,[  94 2207],[ 228 2313]
25,幅,0.8663,[ 277 2229],[ 413 2314]
25,黑镇镐镐靠稽稻黎稿,0.8573,[ 469 2225],[1926 2314]
26,通用,0.9929,[170   0],[303  84]
26,规范汉字7000字,0.9962,[291  12],[676  77]
26,S000,0.6188,[1532   37],[1634   73]
26,[行楷]教学版,0.9218,[1698   34],[1972  106]
26,稼箱篓箭篇僵躺僻德艘膝,0.9156,[161  94],[1972  283]
26,糊遵憋潜澎潮潭鲨澳,0.89,[332 459],[1812  635]
26,鹤擅,0.9065,[178 775],[ 355 1200]
26,鸟憨慰劈履豫缭,0.876,[262 805],[1324  983]
26,撼擂操,0.9613,[1472  808],[1965  974]
26,16画,0.9982,[1321  855],[1466  920]
26,夏燕蕾暮薛薇擎薪薄颠翰,0.8839,[264 986],[1971 1150]
26,橱橙橘整融瓢醒霍霎辙,0.9382,[ 304 1154],[1973 1329]
26,福,0.0906,[ 300 1230],[ 334 1255]
26,糙糖糕燃濒澡激懒憾懈窿,0.8873,[ 172 1859],[1958 2012]
26,3十,0.4184,[1015 2045],[1601 2165]
26,,0.0,[ 302 2076],[ 420 2301]
26,"三笔连写,前两笔",0.9447,[ 671 2095],[ 967 2134]
26,绞丝旁,0.8579,[ 176 2111],[ 227 2229]
26,一长一短，书写时强调,0.9853,[ 595 2152],[ 968 2187]
26,书写流畅、轻重有致，,0.9718,[ 597 2204],[ 964 2241]
26,纱纱纱,0.9891,[1019 2229],[1462 2322]
26,注意与“”相区别。,0.9201,[ 596 2258],[ 945 2297]
26,指向不同,0.9614,[ 297 2285],[ 440 2322]
27,[行楷]学版,0.929,[1694   36],[1985  105]
27,0,0.3568,[1511   48],[1621   83]
27,壁避缰缴,0.8639,[172 125],[832 296]
27,戴擦藉鞠藏藐,0.9852,[999 123],[1975  273]
27,17画,0.9974,[840 170],[983 237]
27,糟糠燥懦豁臀臂翼骤,0.9856,[322 828],[1813  980]
27,18画,0.9984,[1821  860],[1969  930]
27,鹰,0.9733,[1798  999],[1972 1150]
27,孽警蘑藻攀曝,0.9715,[ 988 1157],[1987 1335]
27,19画,0.9986,[ 831 1211],[ 977 1277]
27,鬓壤馨耀躁蠕,0.9675,[ 987 1503],[1979 1678]
27,20画,0.9987,[ 828 1553],[ 975 1615]
27,嚷巍籍鳞魔糯灌譬,0.9494,[ 306 1669],[1641 1849]
27,蠢,0.99,[1824 1680],[1960 1834]
27,21画,0.9983,[1645 1720],[1801 1789]
27,露霹躏黯髓赣,0.7908,[ 328 1835],[1315 2024]
27,囊镶瓠,0.7676,[1498 1864],[1961 2001]
27,22画,0.999,[1315 1899],[1467 1963]
27,罐,0.9958,[ 348 2043],[ 483 2184]
27,矗,0.9601,[ 686 2041],[ 813 2182]
27,23画,0.9987,[ 171 2067],[ 326 2141]
27,24画,0.9995,[ 504 2073],[ 650 2143]
27,一个人总得慷慨一点，才配受人感谢。,0.988,[ 276 2234],[1593 2321]
27,（托马斯·哈代）,0.9515,[1638 2274],[1922 2318]
28,通用,0.9933,[175  70],[302 163]
28,规范汉字7000字,0.9912,[300  95],[667 152]
28,000,0.8812,[1473   92],[1700  135]
28,[行楷,0.927,[1709   87],[1826  151]
28,教学版,0.9891,[1842   90],[1966  142]
28,警,0.0433,[1836  185],[1927  294]
28,禁,0.2958,[1180  206],[1734  284]
28,南长花,0.0897,[222 225],[662 301]
28,通用规范汉字表（二级字表）,0.9971,[430 290],[1709  384]
28,下面我们选取了《通用规范汉字表》使用频率低于前面一级字表的二级字表，一级和二级字表合,0.9915,[283 477],[1934  507]
28,起来的实用作用相当于原《现代汉语通用字表》。由于二级字表中所录的生字较前面的一级字表而言,0.9967,[197 532],[1932  562]
28,较不常见，我们在书写学习时要更加注意生僻字形，多练多记。,0.994,[197 587],[1283  624]
28,3画 兀弋子了幺,0.7003,[627 700],[1608  816]
28,元,0.3515,[1824  696],[1937  815]
28,X也,0.5973,[369 712],[685 814]
28,4画,0.9952,[1649  716],[1769  778]
28,2画,0.9952,[198 729],[315 795]
28,交,0.2896,[203 996],[ 327 1162]
28,卡门讣尹夫母,0.6945,[ 318 1026],[1472 1157]
28,邗,0.831,[1651 1018],[1822 1164]
28,5画,0.9945,[1483 1053],[1609 1118]
28,仁仕仟仡仫仞卮低犹刍邝,0.7174,[ 176 1331],[1988 1516]
28,祁汀讦让讪讫尻阡尕弁驭,0.6728,[ 170 1483],[1998 1691]
28,匡来玎玑邢圩坛圭扦圪,0.77,[ 342 1669],[1993 1864]
28,6画,0.9965,[ 197 1730],[ 311 1798]
28,梦亘库乔成乱晃曳发,0.6033,[ 173 2015],[1830 2210]
28,-,0.7737,[1780 2117],[1803 2133]
28,函图钇岳氯氛牝伎,0.6155,[ 198 2220],[1483 2328]
28,伛伢低,0.4947,[1472 2232],[1947 2328]
29,[行楷]教学版,0.9738,[1701   56],[1964  125]
29,仵怅伧伉伫白刚凤刎,0.5638,[183 117],[1957  283]
29,犷犸舛凫邬饧汕汔汐汲汜,0.7669,[179 290],[1971  467]
29,玕,0.3029,[1828  632],[1963  789]
29,画,0.7955,[1656  677],[1790  748]
29,芩,0.8698,[ 198 1141],[ 341 1334]
29,邺忐卤邺肝呋呒吃呔呖呃,0.541,[ 171 1474],[2008 1652]
29,肠吡町虬呗吽心吲帏岐岈,0.8009,[ 184 1675],[1988 1813]
29,岘岑岚兕图囫钊钉氤,0.7281,[ 179 1846],[1986 1994]
29,7,0.3225,[1069 2022],[1096 2172]
29,H,0.4026,[1389 2032],[1420 2162]
29,右部稍精高于左部,0.8673,[ 294 2092],[ 573 2132]
29,1,0.1202,[1166 2086],[1328 2114]
29,竹字头,0.9976,[ 177 2099],[ 230 2223]
29,"其形草化,如两小",0.9573,[ 677 2140],[ 976 2180]
29,从,0.2117,[ 368 2165],[ 472 2219]
29,人连写。,0.9537,[ 600 2195],[ 736 2237]
29,笑,0.9407,[1027 2211],[1179 2322]
29,笑,0.9878,[1371 2207],[1469 2323]
29,钩末可连带下部,0.9266,[ 300 2262],[ 547 2302]
30,O001,0.3586,[1519   38],[1632   77]
30,[行楷]教学版,0.8925,[1684   37],[1945  108]
30,氚忙佞邱攸佚佝佟佗伽彷,0.8049,[188 111],[1931  270]
30,余剑孚采金肟邸奂劬狄狁,0.6444,[181 288],[1949  446]
30,沌彻让汩泪沂汾讽汴汶沅,0.7307,[176 800],[1979  965]
30,伪泐忧呕忡忤忾怅忻忪怆,0.6044,[174 967],[1989 1150]
30,陀陂陉妍妩妪妣妊妗为,0.6932,[ 167 1306],[1873 1486]
30,妞,0.9617,[1821 1337],[1971 1473]
30,纾,0.1642,[ 178 1634],[ 324 1831]
30,玮牙玭玠玥玦盂黍,0.6503,[ 489 1648],[1989 1849]
30,8画,0.9968,[ 351 1706],[ 472 1781]
30,坼坻扼坨堀抿坳耶苷苯茎,0.6229,[ 168 2001],[1986 2212]
30,茏,0.7843,[ 193 2203],[ 343 2332]
30,苫,0.7997,[ 360 2211],[ 518 2332]
30,首苴再苟茌苻苓节,0.6118,[ 460 2207],[1819 2332]
30,苑,0.2625,[1782 2221],[1949 2332]
31,OBUV,0.3603,[1534   96],[1677  143]
31,[行楷]教学版,0.9398,[1649   90],[1986  166]
31,茑英莹茕苇苔枥枇杪香枧,0.6562,[179 157],[1987  338]
31,杵枨枞枋妞杷杼研砀刳奄,0.5356,[170 331],[1994  523]
31,瓯哑呷奇被,0.7513,[174 445],[ 359 1387]
31,殁郏轭郅鸾盱昊昙果昃,0.6818,[305 500],[1994  701]
31,呸昕昀果肪灵咔界虮咀,0.6108,[327 664],[2000  887]
31,龟,0.4976,[339 854],[ 525 1041]
31,岬,0.9947,[ 546 1026],[ 651 1201]
31,岫帙峋昴刿迥岷,0.5968,[ 645 1028],[1987 1192]
31,峄沓囵罔钍钎钏钒钕钗,0.8716,[ 340 1200],[1989 1373]
31,䏝肽肱肫剁迩郇狙狎狍狒,0.7323,[ 183 1887],[1960 2029]
31,心心心,0.9892,[1014 2071],[1473 2164]
31,书写时应多注意点,0.997,[ 676 2112],[ 971 2150]
31,心字底,0.98,[ 176 2129],[ 234 2245]
31,两点连写,0.9512,[ 348 2122],[ 489 2164]
31,画之间的连带呼应，末,0.9594,[ 599 2164],[ 971 2202]
31,两点可连写，注意卧钩,0.9901,[ 600 2219],[ 970 2252]
31,忠忠忠,0.9991,[1015 2234],[1468 2340]
31,下齐平,0.9985,[ 361 2272],[ 472 2323]
31,的写法。,0.9939,[ 598 2266],[ 737 2314]
32,通用,0.9868,[178  10],[310 111]
32,00,0.5799,[1493   30],[1630   69]
32,[行楷]教学版,0.9818,[1700   22],[1973   95]
32,规范汉字7000字,0.9979,[300  38],[670  87]
32,咎炙枭饯饴冽洗庖疠疝疡,0.8706,[193 127],[1958  258]
32,兖妾劾炜烟炖忻炝炔淋沭,0.5906,[177 288],[1974  448]
32,泯泓泾怙怵怦怛怏怍㤘怩,0.6792,[179 621],[1983  814]
32,怫怿宕穹宓诓谋诘诘戾诙,0.6105,[183 798],[1991  991]
32,诣诤诧浑诩戕孢亟陔妲妯,0.6868,[ 176 1136],[2007 1342]
32,玉珐珂,0.6226,[1487 1488],[2000 1687]
32,9画,0.9946,[1341 1549],[1463 1619]
32,英夷贯萃莒茼茴茱莲荞茯,0.6552,[ 235 2020],[1988 2226]
32,英,0.9919,[ 199 2032],[ 307 2186]
32,荏荇苓荟荀艾芙芳茫恶,0.5366,[ 182 2218],[1884 2326]
32,荣,0.3371,[1835 2237],[1947 2326]
33,通用,0.9538,[184   0],[320  88]
33,规范汉字7000字,0.9974,[313  11],[696  71]
33,[行楷]教学兼,0.8195,[1730   37],[2000  111]
33,荦荨荩荪茹荚药柰栉柯,0.6407,[194  83],[1994  289]
33,柘栊柩枰栌柙枵柚枳柞柝,0.6215,[199 280],[1984  460]
33,栀柢栎枸样柁枷柽刺酊,0.6192,[193 448],[1989  626]
33,甭砗砘砒斫砭矾奎耷虺殂,0.6147,[178 598],[2006  812]
33,恭哐眄眶 郢眇眊眈禺晒,0.5555,[181 950],[2005 1154]
33,峙峣罘帧峒峤峋峥观钚钛,0.674,[ 173 1646],[2004 1840]
33,钡钣钤钨钫钯氡氟牯郜秕,0.6982,[ 188 1834],[1984 1995]
33,广广广,0.8123,[1010 1998],[1509 2158]
33,首点高昂靠右，撇,0.9114,[ 678 2068],[ 980 2109]
33,病字旁,0.9771,[ 177 2083],[ 232 2205]
33,提术可与,0.7589,[ 459 2096],[ 500 2231]
33,右邮相连,0.649,[ 501 2097],[ 542 2231]
33,用附钩撇，点提可连写，,0.9736,[ 604 2120],[ 977 2162]
33,各个笔画之间的连带也,0.9986,[ 603 2174],[ 976 2212]
33,疼疼,0.9931,[1011 2179],[1326 2332]
33,疼,0.9841,[1358 2195],[1475 2321]
33,较为灵活，可连可断。,0.9911,[ 601 2225],[ 956 2269]
33,末用回锋钩,0.8501,[ 307 2257],[ 522 2298]
34,通用,0.9189,[184   0],[309  61]
34,规范汉字7000字,0.9933,[301   0],[677  53]
34,[行楷]教学版,0.9393,[1688    9],[1949   80]
34,秭竽笈笃俦俨俅俪叟垡华,0.7232,[189  80],[1936  250]
34,俣俚皈俑俟逅徇徉俞郗,0.8085,[181 252],[1950  426]
34,俎郁爰郭瓴胨胪胛肿脓脈,0.5644,[174 400],[1965  631]
34,胗胝胸胫钨匍狨狯胞狩猕,0.6719,[181 593],[1961  779]
34,匍逢昝饷饸饹胤挛娈弈奕,0.7019,[171 757],[1973  960]
34,闽,0.6094,[ 206 1103],[ 331 1303]
34,阂美迸灿首炳炽炯,0.6995,[ 301 1107],[1980 1304]
34,泊血浊洮洵浒浔尽洳恸恼,0.5571,[ 162 1443],[1994 1657]
34,恹恫恺恻恂恪恽宥扁祸衽,0.6965,[ 163 1620],[1995 1828]
34,衿袂祛祜祓祚诮祗称诰谁,0.6731,[ 170 1813],[1986 1999]
34,鹄昶郡咫弭將胥陛陟娅垣,0.7578,[ 171 1998],[1980 2180]
34,烧姝姣妍姹怼羿炱矜绔骁,0.6916,[ 167 2178],[1988 2332]
35,通用规范汉字7000字,0.9842,[164   0],[693 102]
35,[行楷]学照,0.8707,[1721   36],[1982  108]
35,骅衍绛骈,0.5977,[192 107],[844 276]
35,挈珥珙颈挡,0.5512,[1019  126],[1960  266]
35,10画,0.9969,[853 147],[1019  232]
35,埚,0.4621,[379 450],[481 646]
35,挹者耄埒捋贽捃盍,0.6732,[432 454],[1983  636]
35,邦桓桡桎桢桤梃栝柏桁桧,0.6619,[260 989],[1990 1152]
35,栟按栩逑逋或鬲豇酐逦,0.6367,[ 320 1161],[1990 1322]
35,森砝砹砺砧砷砟砼砥砣,0.6995,[ 347 1317],[1987 1506]
35,袭轼轻辂鸫歪龀鸬虔逍,0.6719,[ 280 1500],[1980 1657]
35,灼畛蛱蚜蚍蚋蚬蚝唢,0.6723,[ 186 1847],[1970 2002]
35,走走走,0.9952,[1001 2023],[1475 2189]
35,走字旁下部写法可,0.9975,[ 675 2057],[ 971 2098]
35,长横左部长,0.8242,[ 277 2085],[ 318 2260]
35,走字底,0.9873,[ 174 2098],[ 230 2226]
35,用流动线，书写时，应,0.9851,[ 600 2109],[ 969 2150]
35,走,0.9916,[ 347 2119],[ 493 2257]
35,注意流动线的写法和整,0.9984,[ 600 2163],[ 970 2201]
35,越越越,0.9984,[1007 2204],[1478 2318]
35,体长短、角度与收放的,0.9874,[ 597 2216],[ 969 2254]
35,右部宜齐,0.984,[ 347 2259],[ 495 2307]
35,不同。,0.9824,[ 597 2269],[ 704 2318]
36,通用,0.974,[173   0],[301  82]
36,规范汉字7000字,0.9967,[295   5],[675  72]
36,[行楷]数学版,0.8778,[1710   37],[1973  107]
36,圄唣唏盎唑崂崃罡罟峪觊,0.771,[188 101],[1967  268]
36,赅钰钲钻钵钹钱钽钼钿铀,0.7919,[189 291],[1961  440]
36,铂铄铆铈铉铊铋铌铍钹铎,0.8152,[185 452],[1966  619]
36,笏笆俸倩俵偌俳俶倬您,0.729,[159 764],[1992  979]
36,倭倪俾倜隼隽倌倥臬皋郫,0.7249,[173 960],[1990 1146]
36,倨衄欣徕舫釜奚衾胯胱胴,0.8088,[ 176 1135],[1990 1305]
36,狳猃狺逖桀袅饽淞栾挛毫,0.814,[ 170 1457],[1991 1649]
36,痈疸疽痈疱痂痉衮凋顽,0.82,[ 309 1648],[1979 1822]
36,郸,0.9991,[ 194 2010],[ 363 2160]
36,烜烨烩烊剡郯烬涑语涞,0.5829,[ 298 2012],[1960 2159]
36,涟,0.5626,[ 206 2202],[ 309 2304]
36,娑湿涠泛涓浥涔浜浠浣,0.7826,[ 349 2195],[1957 2306]
37,通用,0.9975,[184   0],[318  86]
37,规范汉学7000字,0.9498,[313  12],[695  73]
37,[行楷]学成,0.8899,[1741   26],[2011  105]
37,浚悚悭悝悒悌悛宸窈剜,0.7224,[201 102],[1997  276]
37,冢诼袒袢祯诿谀谂谄履,0.7241,[197 279],[1997  455]
37,屙陬勐奘牂蚩陲姬娠娌娉,0.7267,[190 449],[1997  631]
37,娲娩娴娣娓婀奋逡便骊绡,0.7884,[192 629],[1992  795]
37,骋绥绦绨骎邕鸶,0.8308,[192 802],[1334  972]
37,彗耜焘,0.8872,[1509  803],[1989  966]
37,11画,0.9975,[1338  832],[1493  917]
37,春琏琇麸揶埴埯捯掳掴场,0.5978,[189 975],[1998 1144]
37,睡赧埤捭逵埝棚堍掬鸷掖,0.5418,[ 179 1119],[2011 1333]
37,捽接掸捩掮囊埭埽掇掼,0.6157,[ 176 1299],[2009 1490]
37,聃菁萁菘堇萘萋菽葛萜萸,0.7319,[ 169 1449],[2018 1687]
37,萑棻菔菟萏萃菏菹菪菅菀,0.698,[ 176 1644],[2008 1841]
37,萦菰菡梵梿梏觋桴桷梓税,0.747,[ 201 1846],[1988 1987]
37,西西西,0.9941,[1018 2023],[1479 2160]
37,化方为圆,0.9908,[ 181 2070],[ 234 2222]
37,略带强度不可过度,0.8944,[ 271 2071],[ 552 2112]
37,直笔变弧笔是行楷,0.9983,[ 680 2071],[ 977 2110]
37,常用的书写方式，但仍,0.9941,[ 605 2122],[ 975 2166]
37,西,0.8822,[ 338 2143],[ 480 2246]
37,须方圆兼备，塑其形而,0.9943,[ 604 2174],[ 975 2220]
37,面,0.9993,[1032 2201],[1146 2318]
37,面,0.9984,[1194 2206],[1311 2312]
37,强其骨。,0.9807,[ 602 2225],[ 745 2275]
38,迪用,0.7265,[151   0],[285  78]
38,规范汉字7000字,0.9948,[283   4],[668  73]
38,00,0.5813,[1508   33],[1651   76]
38,[行楷]教学版,0.9515,[1717   35],[1977  118]
38,桫棂啬郾匮敕豉鄄酞酚夏,0.6362,[165  92],[1965  285]
38,硼磺硒碘硫酮硒硌鸸瓠匏,0.6236,[167 276],[1981  461]
38,厩龚殒殓殍责雩辄堑睦眦,0.7246,[169 440],[1985  640]
38,蛎蛆蛐蛊圉蚱蛉蛏蚴啁啕,0.7366,[170 955],[1995 1147]
38,筒,0.9471,[ 179 1968],[ 322 2162]
38,笞笳笾笞债偃偕偈傀,0.7069,[ 302 1994],[1865 2164]
38,翎,0.9749,[1869 2160],[1991 2314]
38,皑皎鸻徜舸舻舫舷龛,0.6701,[ 337 2174],[1848 2322]
38,偻,0.8628,[ 178 2189],[ 325 2322]
39,通用,0.9953,[168   0],[326  83]
39,规范汉字7000字,0.9972,[293  10],[679  79]
39,[行楷]教学版,0.9135,[1724   29],[1992  107]
39,脬脘脲匐猗猡猞猝解猕馗,0.8172,[186 102],[1979  274]
39,踝馄鸾孰度庾痔痍疵羽旌,0.7571,[176 289],[1978  453]
39,袤阁阈阉闾阋阁阙轻粝,0.6936,[323 465],[1975  629]
39,谝逯郿隈棠隍隗情婊婕娼,0.5999,[ 166 1503],[1992 1698]
39,婢婵胬袈翌恿欲绫骐绮绯,0.8026,[ 168 1673],[1979 1867]
39,徜骒混骓绶绺绻绾骖缁,0.6331,[ 186 1869],[1799 2024]
39,12画,0.9991,[1817 1915],[1959 1975]
39,童童童,0.995,[ 992 2052],[1471 2205]
39,诸横收放,0.9712,[ 176 2096],[ 227 2249]
39,诸横长短各不同,0.9044,[ 301 2102],[ 538 2149]
39,横画多的字，横画,0.9855,[ 655 2137],[ 952 2184]
39,童,0.9873,[ 320 2147],[ 491 2311]
39,的长短应有收有放，收,0.9957,[ 583 2188],[ 950 2239]
39,放有致。,0.9573,[ 580 2239],[ 719 2292]
39,着,0.449,[1028 2243],[1114 2318]
39,去,0.9447,[1207 2250],[1282 2314]
39,去,0.989,[1374 2255],[1440 2310]
40,通用,0.9832,[158   0],[294 103]
40,规范汉字7000字,0.9983,[287  20],[671  97]
40,[行楷]学版,0.9217,[1713   59],[1981  133]
40,000,0.7593,[1511   69],[1636  105]
40,耠琫琵琶琪瑛琦琥琨靓淡,0.7693,[178 125],[1974  298]
40,琮琯琬琛琚辇飞揳蝶搽揸,0.638,[160 291],[1990  494]
40,堙趄揖颉塄揿耄揄蛩,0.555,[291 477],[1980  673]
40,摒揆掾聒葑葚轨报葳葺,0.4972,[316 638],[1988  856]
40,萼葆葩亭萋萱戟葭楮棼,0.8001,[276 826],[1981 1016]
40,蛘喁喟啾嗖喑嗟喽嗞喀喔,0.7751,[ 154 1862],[1960 2064]
40,喙嵘嵖崴遄詈隅崽嵬嵛嵯,0.6975,[ 157 2039],[1948 2245]
40,小米,0.785,[ 188 2237],[ 292 2294]
40,1.2,0.6051,[ 353 2250],[ 463 2297]
40,上口,0.5452,[ 504 2258],[ 598 2293]
41,[行楷]教李版,0.805,[1703   34],[1972  111]
41,锇锉锏锑银锔锕掣燃氰毳,0.6005,[175 107],[1969  283]
41,焯焜焙焱鹈湛渫洒湎湿渭,0.6829,[ 157 1488],[1981 1652]
41,湍湫溲湟淑缓渝澹渥湄滁,0.6583,[ 159 1657],[1985 1837]
41,愠惺愦惴愀愎愔尝寐谟扉,0.8031,[ 165 1848],[1955 1993]
41,动动动,0.9992,[1004 2026],[1471 2167]
41,搬末插在左下,0.678,[ 295 2061],[ 344 2319]
41,穿插合理,0.9815,[ 163 2074],[ 216 2229]
41,合体之字，要互相,0.9804,[ 661 2080],[ 962 2121]
41,动,0.9965,[ 370 2109],[ 512 2245]
41,合抱，互带穿插，礼让,0.9237,[ 584 2134],[ 962 2173]
41,相揖，其形合一，严防,0.9841,[ 583 2185],[ 962 2226]
41,故故故,0.9981,[1006 2205],[1478 2320]
41,各尽其态而失整字之势。,0.993,[ 585 2241],[ 960 2280]
42,通用,0.7664,[176   0],[304  71]
42,规范汉字7000字,0.9708,[298   4],[678  60]
42,10008,0.6411,[1509    9],[1654   56]
42,[行楷]教学版,0.9723,[1720    8],[1992   84]
42,连程涧祾祺谠幂谡谥谧遐,0.6546,[185  91],[1978  253]
42,孱弼巽鹭媪媛婷疏翚皴婺,0.8021,[179 256],[1993  449]
42,耢瑚瑁瑜瑗瑄瑕遨鹜,0.6569,[488 600],[1998  815]
42,13画,0.9982,[344 662],[492 738]
42,擒搛搠槟彀毂搦搡蓁戡,0.6137,[162 950],[1838 1154]
42,槎榉楦楣楹椽裘剽甄酮酰,0.8812,[ 167 1650],[1994 1870]
42,辏龃龅訾粲虞睚嗪韪嗷叶,0.6378,[ 170 2006],[1974 2203]
42,睨睢雎睥嘟嗑嗫嗬嗔嗝戳,0.6723,[ 192 2200],[1950 2322]
43,[行楷]最学版,0.903,[1700   49],[1976  125]
43,嗄煦暄遢睽跬跶跸跐跣跹,0.7376,[183 130],[1966  286]
43,跻蛸蜊蜍蜉蜣畹蛹嗣嗯嗥,0.8719,[182 296],[1971  469]
43,嗲嗳嗌嗍嗨嗐嗤嗵罨嵊嵩,0.6313,[171 447],[1978  653]
43,嵴骰锗锛锜锝锞锟铜锨锩,0.7042,[171 620],[1982  834]
43,貊貅貉颔腠腩肠腭腧腠腠,0.6807,[ 180 1154],[1989 1336]
43,詹鲅鲜鲇鲈稣鲋鲐肆鹃飕,0.7406,[ 176 1318],[1989 1514]
43,觥遛馐鹑亶瘃痱痈痿瘦瘁,0.5974,[ 173 1492],[1989 1681]
43,疹麂裔歆旒雍阖阗阙羧泰,0.7296,[ 174 1657],[1986 1849]
43,粳猷煳煜煨煅煊煸艰滟溱,0.7634,[ 190 1853],[1965 1997]
43,22,0.8943,[1026 2046],[1335 2162]
43,横腕之笔，要圆润,0.9887,[ 668 2061],[ 968 2102]
43,批劲有力,0.7593,[ 407 2075],[ 549 2119]
43,2,0.9878,[1356 2068],[1454 2148]
43,横腕俊秀,0.9749,[ 180 2084],[ 225 2244]
43,不可过考,0.8305,[ 410 2114],[ 550 2156]
43,俊秀，忌生硬粗抽，书写,0.9365,[ 593 2117],[ 966 2155]
43,飞,0.5414,[ 345 2154],[ 463 2246]
43,,0.0,[ 596 2172],[ 966 2205]
43,度，弯下部的平稳，还要,0.9885,[ 594 2225],[ 967 2258]
43,元元元,0.9989,[1022 2219],[1471 2326]
43,自然面转不可过夫,0.8216,[ 281 2284],[ 553 2322]
43,体现笔画的舒展圆劲。,0.9884,[ 593 2279],[ 935 2317]
44,迪用,0.8549,[177   0],[306  78]
44,规范汉字7000字,0.9653,[300   6],[684  65]
44,[行楷]数学版,0.9065,[1733   22],[2004  106]
44,渎漭滢溥漂潺裳涓溷滗,0.5998,[188  93],[1993  269]
44,澳滏潺滦溏滂滓溟濒愫慑,0.6359,[184 274],[1991  453]
44,慊当骞窦窠窣裱诸裨裾,0.6449,[172 442],[1996  625]
44,禊谩谪媾嫫媲嫒嫔媸缙缜,0.7542,[172 613],[1995  808]
44,褥辔骝缟缡缢缣骗,0.6128,[173 790],[1494  981]
44,耥,0.5225,[1662  813],[1879  958]
44,14画,0.9994,[1495  844],[1646  919]
44,撂摞樱翥踅摭墉墒穀蓁叶,0.4955,[ 170 1125],[1992 1329]
44,蔷辣靼鞅锄甍苑蔟蔺戏叶,0.5839,[ 171 1307],[1985 1491]
44,棒,0.5269,[1740 1485],[1972 1665]
45,司,0.327,[178   0],[310  72]
45,规范汉字7000字,0.9965,[299   4],[677  61]
45,800E,0.4925,[1500    9],[1652   53]
45,[行楷]教学版,0.9506,[1717    4],[1989   77]
45,蜩蜷蜿螂蜢嘘嘡鹗嘣嘤嘚,0.7905,[192 103],[1975  239]
45,嗾嘧黑罱幔嶂幛赙罂骷骶,0.6841,[186 274],[1980  427]
45,鹃锲锴锶锷锸锵镁镂犒箐,0.8352,[177 438],[1980  608]
45,箦箧箍箸箬算箪简管菀策,0.5724,[166 593],[1992  795]
45,毓僖儆傈僭僮魃魆睾艋,0.6856,[165 763],[1995  974]
45,鄱膈膑鲑鲔鲚鲛鲟獐觫雏,0.8132,[174 963],[1987 1134]
45,夤馑銮塾麽痢瘊痿瘙廖韵,0.5991,[ 168 1130],[1990 1311]
45,漳漩澉潍慵搴窨寤綮谮裕,0.6671,[ 172 1650],[1991 1836]
45,稽褓褛褊谁谰谲暨屣鹛嫣,0.6054,[ 188 1846],[1970 1994]
